attraction,address,rating,types,place_id,lat,lng,reviews,reviews_count
Hat Creek Subway Cave,"Old Station, CA 96071, USA",4.7,"['natural_feature', 'park', 'point_of_interest', 'establishment']",ChIJke81c8Q4zVQRIbPLw1yw2Mw,40.6860027,-121.418957,,64
SS Red Oak Victory,"1337 Canal Blvd, Richmond, CA 94804, USA",4.2,"['museum', 'point_of_interest', 'establishment']",ChIJM5ZqjJaChYAR6fZye1y4fy8,37.9055264,-122.3656382,,33
Point Pinole,"5551 Giant Hwy, Richmond, CA 94806, USA",4.7,"['park', 'point_of_interest', 'establishment']",ChIJx_EuTyJ2hYARefWSH6M4Z7A,38.0002701,-122.3556445,,33
Wildcat Canyon Regional Park,"5755 McBryde Ave, Richmond, CA 94806, USA",4.7,"['park', 'point_of_interest', 'establishment']",ChIJBR-rWaN5hYARshK4fXyhIlM,37.9380049,-122.2892432,,25
Riggers Loft Wine Company,"1325 Canal Blvd, Richmond, CA 94804, USA",4.8,"['food', 'point_of_interest', 'establishment']",ChIJKaCxAIeChYAR_BY6RLRQ0SM,37.9053482,-122.3645402,,11
The Craneway Pavilion,"1414 Harbour Way S, Richmond, CA 94804, USA",4.4,"['point_of_interest', 'establishment']",ChIJabqf1YOChYARZWVlZGOVRjU,37.9094422,-122.3583973,,19
Miller Knox Regional Shoreline,"900 Dornan Dr, Richmond, CA 94801, USA",4.6,"['park', 'point_of_interest', 'establishment']",ChIJ1_riXuqChYARyPS7ewYWKeM,37.9154075,-122.3830087,,11
Century 16 Hilltop,"3200 Klose Way, Richmond, CA 94806, USA",4.3,"['movie_theater', 'electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",ChIJTTwySKV3hYARFeX7E6UvRVY,37.9818722,-122.3198148,,9
San Pablo Lytton Casino,"13255 San Pablo Ave, San Pablo, CA 94806, USA",3.4,"['casino', 'point_of_interest', 'establishment']",ChIJq2JlJPV3hYARQcsgy6vxHGc,37.952433,-122.3345099,,28
East Brother Beer Company,"1001 Canal Blvd, Richmond, CA 94804, USA",4.9,"['food', 'point_of_interest', 'establishment']",ChIJ93MGo5WChYARR7dcIZG_p8A,37.9175916,-122.3760013,,3
Hilltop Lake Park,"Richmond, CA 94806, USA",0.0,"['park', 'premise', 'point_of_interest', 'establishment']",ChIJmVNV_7N3hYARrCWI5CJi9KU,37.984631,-122.3298833,,5
Golden State Model Railroad Museum,"900 Dornan Dr A, Richmond, CA 94801, USA",4.4,"['museum', 'point_of_interest', 'establishment']",ChIJW8rxBeqChYARWfqbXOI2lAk,37.915266,-122.383514,,5
